(,1,",","""",Afghanistan,"""",),",","(1,""Afghanistan""),"
(,2,",","""",Albania,"""",),",","(2,""Albania""),"
(,3,",","""",Algeria,"""",),",","(3,""Algeria""),"
(,4,",","""",Andorra,"""",),",","(4,""Andorra""),"
(,5,",","""",Angola,"""",),",","(5,""Angola""),"
(,6,",","""",Antigua and Barbuda,"""",),",","(6,""Antigua and Barbuda""),"
(,7,",","""",Argentina,"""",),",","(7,""Argentina""),"
(,8,",","""",Armenia,"""",),",","(8,""Armenia""),"
(,9,",","""",Aruba,"""",),",","(9,""Aruba""),"
(,10,",","""",Australia,"""",),",","(10,""Australia""),"
(,11,",","""",Austria,"""",),",","(11,""Austria""),"
(,12,",","""",Azerbaijan,"""",),",","(12,""Azerbaijan""),"
(,13,",","""","Bahamas, The","""",),",","(13,""Bahamas, The""),"
(,14,",","""",Bahrain,"""",),",","(14,""Bahrain""),"
(,15,",","""",Bangladesh,"""",),",","(15,""Bangladesh""),"
(,16,",","""",Barbados,"""",),",","(16,""Barbados""),"
(,17,",","""",Belarus,"""",),",","(17,""Belarus""),"
(,18,",","""",Belgium,"""",),",","(18,""Belgium""),"
(,19,",","""",Belize,"""",),",","(19,""Belize""),"
(,20,",","""",Benin,"""",),",","(20,""Benin""),"
(,21,",","""",Bhutan,"""",),",","(21,""Bhutan""),"
(,22,",","""",Bolivia,"""",),",","(22,""Bolivia""),"
(,23,",","""",Bosnia and Herzegovina,"""",),",","(23,""Bosnia and Herzegovina""),"
(,24,",","""",Botswana,"""",),",","(24,""Botswana""),"
(,25,",","""",Brazil,"""",),",","(25,""Brazil""),"
(,26,",","""",Brunei,"""",),",","(26,""Brunei""),"
(,27,",","""",Bulgaria,"""",),",","(27,""Bulgaria""),"
(,28,",","""",Burkina Faso,"""",),",","(28,""Burkina Faso""),"
(,29,",","""",Burma,"""",),",","(29,""Burma""),"
(,30,",","""",Burundi,"""",),",","(30,""Burundi""),"
(,31,",","""",Cambodia,"""",),",","(31,""Cambodia""),"
(,32,",","""",Cameroon,"""",),",","(32,""Cameroon""),"
(,33,",","""",Canada,"""",),",","(33,""Canada""),"
(,34,",","""",Cabo Verde,"""",),",","(34,""Cabo Verde""),"
(,35,",","""",Central African Republic,"""",),",","(35,""Central African Republic""),"
(,36,",","""",Chad,"""",),",","(36,""Chad""),"
(,37,",","""",Chile,"""",),",","(37,""Chile""),"
(,38,",","""",China,"""",),",","(38,""China""),"
(,39,",","""",Colombia,"""",),",","(39,""Colombia""),"
(,40,",","""",Comoros,"""",),",","(40,""Comoros""),"
